gene_id	gene_name	GLL50_V_S38	GLL50_D_S13	GLL53_V_S52	GLL53_D_S42	GLL56_V_S7	GLL56_D_S25	GLL59_V_S72	GLL59_D_S19
ENSG00000111224	PARP11	2.4701180613140825	2.3874045545711837	2.543068042901137	2.5001720184930574	2.120088068045244	2.369264451191482	2.524587693650972	2.1787048909385427
ENSG00000111229	ARPC3	7.50726824658755	7.451603401809274	7.3014477633487775	7.19617415659807	7.453195859769613	7.414472660862538	7.49736561810859	7.287826086062253
ENSG00000111231	GPN3	3.7303565342269915	3.6416122183333837	4.027548612119877	3.9034573605087237	3.8638858590967584	3.9484299390367816	3.978430582330467	3.859209823418526
ENSG00000111237	VPS29	5.517741898856602	5.490677372557086	5.255084540362671	5.204760109810894	5.440051681923032	5.35338754743494	5.496532275746347	5.470995782685034
ENSG00000111247	RAD51AP1	4.575264820841572	4.598173554819519	5.100367519874596	5.135961693215511	5.076898254041861	4.953775070503287	4.9141432473068924	4.983504486888804
ENSG00000111252	SH2B3	1.5858284359211305	1.6925997127002241	2.037427943582707	1.851612368523623	1.299835280114491	1.9111741152769985	1.8188414708549399	1.8238573762545158
ENSG00000111261	MANSC1	4.54751756797428	4.595159378841446	4.387414877630442	4.569113008372193	4.575264820841572	4.3770242156962755	4.383872914960294	4.436852240294217
ENSG00000111266	DUSP16	5.313783247651326	5.627954851202979	5.307557004208886	5.6552315421433725	5.400415228465759	5.529170936418449	5.3436723545476115	5.699403126863041
ENSG00000111269	CREBL2	4.487203078540179	4.683213949478384	4.464707950354475	4.6664599158619815	4.616185712084318	4.641047590180841	4.605928569022541	4.588907238930816
ENSG00000111271	ACAD10	4.282682110878335	4.154714043898487	3.776930004650331	4.060588931992455	4.292894352133203	3.977619865590902	4.243585130685836	4.04274968457126
ENSG00000111275	ALDH2	5.075089157400011	5.016165617954387	4.7349497038657775	4.978379614398999	4.671886950214158	4.680126875330884	4.4844810454000985	4.7157180236077805
ENSG00000111276	CDKN1B	6.1848523360676015	6.1134533345340465	6.223610018119025	6.127650519456225	6.1434813852782595	6.115212022068879	5.944621187319864	6.1434813852782595
ENSG00000111300	NAA25	5.227876250443939	5.236315054535768	5.064388239689825	4.997326621010779	5.368555255679688	5.283038393898463	5.319489731035256	5.307930700840762
ENSG00000111319	SCNN1A	7.684010581288716	8.006076945573808	7.186681271766717	7.354323015750229	7.3777658610716905	7.528600984685294	7.744426017615656	7.753043514593106
ENSG00000111321	LTBR	6.536912840229714	6.451609454695161	6.543923815693448	6.516395568616418	6.565695872739534	6.575458036310734	6.641494826135737	6.658690335486012
ENSG00000111325	OGFOD2	1.5647596852135486	1.6326130475188192	1.9610702358956509	2.0328694539056134	1.7998477345601644	1.490271370239582	1.5631975583077513	1.6173761436336385
ENSG00000111328	CDK2AP1	6.1344059041364964	6.185403854737003	6.2550370577485195	6.305546945614999	6.383184031476215	6.1910112787657985	6.300281282269996	6.234744987227817
ENSG00000111331	OAS3	4.632607458400765	4.6661040261304505	5.237434102055673	5.071069634844172	5.084217717554027	4.966975251060097	5.257740076118585	5.07656040856576
ENSG00000111341	MGP	4.82257524445559	3.6398508046719202	4.113352563405749	3.917724025571955	3.722744946925123	3.8528990022153082	3.9300346230833973	3.757412594379379
ENSG00000111344	RASAL1	4.097002489618804	3.7773481477210287	3.9662351096292805	3.8780577081938237	4.046895312635337	4.166612989194238	4.101050850229402	4.227623192603531
ENSG00000111348	ARHGDIB	7.960404455754145	7.894087050279126	8.068170365234826	8.033865847789475	8.045182028844904	7.891616498701217	8.006076945573808	7.8769121702839024
ENSG00000111358	GTF2H3	4.655532926589988	4.708526777193699	4.56351256699183	4.43341903584578	4.504412476308338	4.624284238896951	4.586029697820551	4.4921004263253765
ENSG00000111361	EIF2B1	5.484874903218389	5.443662087773141	5.51612951340547	5.572854045579401	5.464647148827047	5.518968820151797	5.409446505709753	5.324851271043234
ENSG00000111364	DDX55	4.55091046377676	4.560808803786269	4.835154631766925	4.710266704314075	4.656988845156845	4.569113008372193	4.659617850844717	4.331493570452668
ENSG00000111371	SLC38A1	9.213566203325719	9.449012495562336	9.213566203325719	9.319386039464206	9.291827891690051	9.407191242062378	9.247575884508159	9.417471996249468
ENSG00000111412	C12orf49	6.451609454695161	6.4164283976131875	6.400432615893793	6.450292869944337	6.396199508693965	6.4600318951934526	6.482411150211342	6.294495794057687
ENSG00000111424	VDR	4.556696474672723	4.466567927477711	4.527449874501253	4.517904756850213	4.856066915899891	4.567237472298251	4.665746955803288	4.722224632319406
ENSG00000111445	RFC5	4.127771619878947	4.1851504171756835	4.480783838129744	4.4921004263253765	4.480028398484277	4.428625110359919	4.642895149526833	4.4844810454000985
ENSG00000111450	STX2	2.9308203579975105	2.9607681057563475	2.9188919209083175	3.032133471090351	2.7068122149224694	2.7302528115213964	2.661717279306565	2.6246695649178333
ENSG00000111481	COPZ1	7.011516148588234	6.916740397524757	6.987257658376239	6.823139570779684	6.941026913068871	6.816286140126655	6.860505737402991	6.806529189052961
ENSG00000111490	TBC1D30	4.208553970150713	3.8303129162368132	4.006838133137751	3.9699900590171673	4.037845909788585	4.025143348200769	4.363515277143494	3.8312707784852753
ENSG00000111530	CAND1	8.5244226563327	8.555380725043705	8.591843754809727	8.693671708764283	8.452613024607459	8.546447883726604	8.568915217926705	8.444458435446226
ENSG00000111540	RAB5B	6.830266020204263	6.805655239192023	6.837676407889035	6.68977278567668	6.718513097425558	6.658690335486012	6.82668246471028	6.73828356649026
